file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,34,css,56f560c4,Jackie Wang,2025-01-17,15:18:53,-08:00,2025-01-17T15:18:53-08:00,0,46
style.css,35,css,56f560c4,Jackie Wang,2025-01-17,15:18:53,-08:00,2025-01-17T15:18:53-08:00,0,51
style.css,36,css,56f560c4,Jackie Wang,2025-01-17,15:18:53,-08:00,2025-01-17T15:18:53-08:00,0,45
style.css,37,css,56f560c4,Jackie Wang,2025-01-17,15:18:53,-08:00,2025-01-17T15:18:53-08:00,0,14
style.css,38,css,43070fa2,Jackie Wang,2025-01-17,17:26:05,-08:00,2025-01-17T17:26:05-08:00,0,18
style.css,39,css,56f560c4,Jackie Wang,2025-01-17,15:18:53,-08:00,2025-01-17T15:18:53-08:00,0,0
style.css,40,css,56f560c4,Jackie Wang,2025-01-17,15:18:53,-08:00,2025-01-17T15:18:53-08:00,0,0
style.css,41,css,43070fa2,Jackie Wang,2025-01-17,17:26:05,-08:00,2025-01-17T17:26:05-08:00,0,30
style.css,42,css,56f560c4,Jackie Wang,2025-01-17,15:18:53,-08:00,2025-01-17T15:18:53-08:00,0,14
style.css,43,css,56f560c4,Jackie Wang,2025-01-17,15:18:53,-08:00,2025-01-17T15:18:53-08:00,0,92
style.css,44,css,56f560c4,Jackie Wang,2025-01-17,15:18:53,-08:00,2025-01-17T15:18:53-08:00,0,79
style.css,45,css,56f560c4,Jackie Wang,2025-01-17,15:18:53,-08:00,2025-01-17T15:18:53-08:00,0,0
style.css,46,css,43070fa2,Jackie Wang,2025-01-17,17:26:05,-08:00,2025-01-17T17:26:05-08:00,0,0
style.css,47,css,43070fa2,Jackie Wang,2025-01-17,17:26:05,-08:00,2025-01-17T17:26:05-08:00,0,18
style.css,48,css,43070fa2,Jackie Wang,2025-01-17,17:26:05,-08:00,2025-01-17T17:26:05-08:00,0,12
style.css,49,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,70
style.css,50,css,43070fa2,Jackie Wang,2025-01-17,17:26:05,-08:00,2025-01-17T17:26:05-08:00,0,46
style.css,51,css,43070fa2,Jackie Wang,2025-01-17,17:26:05,-08:00,2025-01-17T17:26:05-08:00,0,21
style.css,52,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,53,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,54,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,45
style.css,55,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,24
style.css,56,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,76
style.css,57,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,58,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,59,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,16
style.css,60,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,5
style.css,61,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,51
style.css,62,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,82
style.css,63,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,51
style.css,64,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,62
style.css,65,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,66,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,67,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,11
style.css,68,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,53
style.css,69,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,70,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,71,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,10
style.css,72,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,14
style.css,73,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,67
style.css,74,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,75,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,76,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,12
style.css,77,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,59
style.css,78,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,50
style.css,79,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,57
style.css,80,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,40
style.css,81,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,54
style.css,82,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,73
style.css,83,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,42
style.css,84,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,55
style.css,85,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,86,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,87,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,18
style.css,88,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,70
style.css,89,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,90,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,91,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,23
style.css,92,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,10
style.css,93,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,13
style.css,94,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,59
style.css,95,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,8
style.css,96,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,12
style.css,97,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,98,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,99,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,19
style.css,100,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,18
style.css,101,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,13
style.css,102,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,27
style.css,103,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,16
style.css,104,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,8
style.css,105,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,22
style.css,106,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,18
style.css,107,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,12
style.css,108,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,40
style.css,109,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,24
style.css,110,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,17
style.css,111,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,112,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,113,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,17
style.css,114,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,14
style.css,115,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,15
style.css,116,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,12
style.css,117,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,14
style.css,118,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,20
style.css,119,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,120,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,121,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,19
style.css,122,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,23
style.css,123,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,16
style.css,124,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,18
style.css,125,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,126,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,127,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,13
style.css,128,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,17
style.css,129,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,9
style.css,130,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,131,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,132,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,21
style.css,133,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,12
style.css,134,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,9
style.css,135,css,c426c238,Jackie Wang,2025-01-17,18:21:55,-08:00,2025-01-17T18:21:55-08:00,0,0
style.css,136,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,0
style.css,137,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,23
style.css,138,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,23
style.css,139,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,14
style.css,140,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,18
style.css,141,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,11
style.css,142,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,13
style.css,143,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,23
style.css,144,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,18
style.css,145,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,24
style.css,146,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,40
